japanese,reading,english,type,category,importance,example_jp,example_en,romaji
外国人,がいこくじん,foreigner,word,Things & Objects,100,うちの かいしゃには外国人が おおぜい います。,There are many foreigners in my company.,uchino kaishani wa gaikokujin ga oozei i masu
会社,かいしゃ,company,word,School & Work,100,うちから 会社まで 40ぷんぐらいです。,It's about 40 from our house to the company.,uchikara kaisha ma de 40pungurai desu
かいだん,かいだん,stairs,word,Places & Directions,1,かいだんで いきましょう。,Let's go up the stairs.,kaidan de iki mashou
かいとうようし,かいとうようし,answer sheet,word,School & Work,1,これは テストの かいとうようしです。,This is the test answer sheet.,kore wa tesutono kaitouyoushi desu
買います,かいます,buy,word,Verbs,1,おいしい パンを 買いました。,I bought some delicious bread.,oishii pan o imashita
買いもの,かいもの,shopping,word,Places & Directions,1,くるまで 買いものに いきます。,I'm going shopping by car.,kuruma de kaimono ni iki masu
かえします,かえします,return (object),word,Things & Objects,1,としょかんに ほんを かえします。,Return the book to the library.,toshokan ni hon o kaeshi masu
かえります,かえります,"return, go back",word,Places & Directions,1,タクシーで うちに かえります。,I'll take a taxi home.,takushii de uchi ni kaeri masu
かお,かお,face,word,Body Parts,1,あのひとの かおを おぼえていますか。,Do you remember that person's face?,anohitono kao o oboetei masu ka
かかります,かかります,"take (time, money)",word,Time & Dates,1,えきまで あるいて 10ぷん かかります。,It takes 10 minutes on foot to the station.,ekima de aruite 10pun kakari masu
かぎ,かぎ,key,word,Things & Objects,1,うちに くるまの かぎを わすれました。,I forgot my car key at home.,uchi ni kurumano kagi o wasuremashita
書きます,かきます,write,word,Verbs,1,えきまでの ちずを 書きましょうか。,Shall I write a map to the station?,ekimadeno chizu o ki mashou ka
学生,がくせい,student,word,People & Family,100,いもうとは まだ 学生です。,My sister is still a student.,imouto wa mada gakusei desu
かけます,かけます,wear,word,Clothing,1,めがねを かけます。,I wear glasses.,megane o kake masu
かさ,かさ,umbrella,word,Things & Objects,1,かさが ありますか。,Do you have an umbrella?,kasa ga ari masu ka
かします,かします,lend,word,Verbs,1,ペンを かしてください。,Please lend a pen.,pen o kashitekudasai
かぜ,かぜ,wind,word,Nature & Animals,1,きょうは とても かぜが つよいです。,It's very windy today.,kyou wa tote mo kaze ga tsuyoi desu
かぞく,かぞく,family,word,People & Family,1,わたしの かぞくも とうきょうに すんでいます。,My family also lives in Tokyo.,watashino kazoku mo toukyou ni sundei masu
かた,かた,person (respect),word,People & Family,1,かいしゃのかたと はなしました。,I talked to a person from the company.,kaishanokata to hanashimashita
カタカナ,カタカナ,katakana,word,School & Work,1,カタカナは むずかしくないです。,Katakana is not difficult.,katakana wa muzukashikunai desu
学校,がっこう,school,word,School & Work,100,あるいて 学校に いきます。,I will walk to school.,aruite gakkou ni iki masu
かど,かど,corner,word,Places & Directions,1,つぎの かどを みぎに まがります。,Turn right at the next corner.,tsugino kado o migi ni magari masu
